Game,Console,Until,Europe,US
Game,Console,TBD,yes,no
.DETUNED,PS3,TBD,yes,yes
A BOY AND HIS BLOB,PS4,TBD,yes,yes
ABZÛ,PS4,TBD,yes,yes
ACES OF THE LUFTWAFFE,PS4,TBD,yes,yes
ACT IT OUT! A GAME OF CHARADES,PS4,TBD,yes,yes
ACTION HENK,PS4,TBD,yes,no
ADVENTURE TIME: PIRATES OF THE ENCHIRIDION,PS4,TBD,yes,yes
AGATHA CHRISTIE - THE ABC MURDERS,PS4,TBD,yes,yes
AIR CONFLICTS VIETNAM ULTIMATE EDITION,PS4,TBD,yes,yes
AIR CONFLICTS: PACIFIC CARRIERS,PS4,TBD,yes,yes
ALCHEMIC JOUSTS,PS4,TBD,yes,yes
ALEX KIDD IN THE MIRACLE WORLD,PS3,TBD,yes,no
ALEX KIDD IN THE MIRACLE WORLD,PS4,TBD,yes,no
ALIEN RAGE ,PS3,TBD,yes,yes
ALIEN RAGE ,PS4,TBD,yes,yes
ALIEN SPIDY ,PS3,TBD,yes,yes
ALIEN SPIDY ,PS4,TBD,yes,yes
ALIENATION,PS4,TBD,yes,yes
ALTERED BEAST,PS3,TBD,yes,yes
ALTERED BEAST,PS4,TBD,yes,yes
AMAZING DISCOVERIES IN OUTER SPACE,PS4,TBD,yes,yes
ANARCHY: RUSH HOUR,PS3,TBD,yes,yes
ANARCHY: RUSH HOUR,PS4,TBD,yes,yes
ANNA EXTENDED EDITION,PS3,TBD,yes,yes
ANNA EXTENDED EDITION,PS4,TBD,yes,yes
ANODYNE,PS4,TBD,yes,yes
ANOMALY 2,PS4,TBD,yes,yes
ANOMALY WARZONE EARTH,PS3,TBD,yes,yes
ANOMALY WARZONE EARTHAPE ESCAPE 2 (PS2 Classics),PS2/PS4,TBD,yes,no
AQUA PANIC!,PS4,TBD,yes,yes
AQUA PANIC! ,PS3,TBD,yes,yes
AR NOSURGE: ODE TO AN UNBORN STAR,PS3,TBD,yes,yes
AR NOSURGE: ODE TO AN UNBORN STAR,PS4,TBD,yes,yes
ARAGAMI,PS4,TBD,yes,yes
ARC THE LAD: TWILIGHT OF THE SPIRITS (PS2 Classics) ,PS2/PS4,TBD,yes,no
ARCANA HEART 3,PS3,TBD,yes,yes
ARCANA HEART 3,PS4,TBD,yes,yes
ARCANIA THE COMPLETE TALE,PS3,TBD,yes,yes
ARCANIA THE COMPLETE TALE,PS4,TBD,yes,yes
ARMAGEDDON RIDERS,PS3,TBD,yes,yes
ARMAGEDDON RIDERS,PS4,TBD,yes,yes
ASSAULT SUIT LEYNOS,PS4,TBD,yes,yes
ASSETTO CORSA,PS4,TBD,yes,yes
ASURA'S WRATH,PS3,TBD,yes,yes
ASURA'S WRATH,PS4,TBD,yes,yes
ATARI FLASHBACK CLASSICS VOL 1,PS4,TBD,yes,yes
ATARI FLASHBACK CLASSICS VOL. 2,PS4,TBD,yes,yes
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS3,TBD,yes,no
ATELIER AYESHA: THE ALCHEMIST OF DUSK,PS4,TBD,yes,no
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS3,TBD,yes,no
ATELIER ESCHA & LOGY - ALCHEMISTS OF THE DUST SKY,PS4,TBD,yes,no
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS3,TBD,yes,no
ATELIER RORONA PLUS: THE ALCHEMIST OF ARLAND,PS4,TBD,yes,no
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS3,TBD,yes,yes
ATELIER SHALLIE - ALCHEMISTS OF THE DUSK SEA,PS4,TBD,yes,yes
BACK TO BED,PS4,TBD,yes,yes
BAJA: EDGE OF CONTROL HD,PS4,TBD,yes,no
BARD'S GOLD,PS4,TBD,yes,yes
BASEBALL RIOT,PS4,TBD,yes,yes
BATMAN - THE TELLTALE SERIES - EPISODE 1: REALM OF SHADOWS,PS4,TBD,yes,no
BATMAN: ARKHAM ASYLUM GAME OF THE YEAR,PS3,TBD,yes,no
BATMAN: ARKHAM CITY,PS3,TBD,yes,yes
BATMAN: ARKHAM ORIGINS,PS3,TBD,yes,yes
BATTALION COMMANDER,PS4,TBD,yes,yes
BATTLE CHASERS: NIGHTWAR,PS4,TBD,yes,yes
BATTLE PRINCESS OF ARCADIAS,PS3,TBD,yes,yes
BATTLE VS CHESS,PS3,TBD,yes,no
BATTLE WORLDS KRONOS,PS4,TBD,yes,yes
BATTLEBORN,PS4,TBD,yes,no
BATTLEFIELD 4,PS3,TBD,yes,yes
BATTLEFIELDTM HARDLINE,PS3,TBD,yes,no
BEN 10,PS4,TBD,yes,yes
BENTLEY'S HACKPACK,PS3,TBD,yes,yes
BEYOND: TWO SOULS,PS4,TBD,yes,no
BIG SKY:INFINITY ,PS3,TBD,yes,yes
BINARIES,PS4,TBD,yes,no
BIONIC COMMANDO REARMED,PS3,TBD,yes,yes
BIONIC COMMANDO REARMED 2,PS3,TBD,yes,yes
BIOSHOCK,PS3,TBD,yes,yes
BIOSHOCK 2,PS3,TBD,yes,yes
BIOSHOCK INFINITE,PS3,TBD,yes,yes
BLACK KNIGHT SWORD,PS3,TBD,yes,yes
BLACK MIRROR,PS4,TBD,yes,yes
BLADESTORM -  NIGHTMARE,PS3,TBD,yes,yes
BLADESTORM: THE HUNDRED YEARS' WAR,PS3,TBD,yes,yes
BLAST 'EM BUNNIES,PS4,TBD,yes,no
BLAZBLUE CALAMITY TRIGGER,PS3,TBD,yes,yes
BLAZBLUE CHRONOPHANTASMA,PS3,TBD,yes,yes
BLAZBLUE CHRONOPHANTASMA EXTEND,PS4,TBD,yes,yes
BLAZBLUE CONTINUUM SHIFT,PS3,TBD,yes,no
BLAZBLUE CONTINUUM SHIFT EXTEND,PS3,TBD,yes,yes
BLAZERUSH,PS3,TBD,yes,yes
BLOOD BOWL 2,PS4,TBD,yes,yes
BLOOD KNIGHTS,PS3,TBD,yes,yes
BLOODBORNE,PS4,TBD,yes,yes
BLOODRAYNE BETRAYAL,PS3,TBD,yes,no
BODYCOUNT,PS3,TBD,yes,yes
BOKOSUKA WARS II,PS4,TBD,yes,yes
BOLT ,PS3,TBD,yes,yes
BOMBERMAN ULTRA,PS3,TBD,yes,yes
BORDERLANDS 2 ULTIMATE EDITION,PS3,TBD,yes,no
BORDERLANDS GAME OF THE YEAR EDITION ,PS3,TBD,yes,no
BORDERLANDS: THE HANDSOME COLLECTION,PS4,TBD,yes,yes
BORDERLANDS: THE PRE-SEQUEL ULTIMATE EDITION,PS3,TBD,yes,no
BOUND,PS4,TBD,yes,yes
BOUND BY FLAME,PS4,TBD,yes,yes
BRAID,PS3,TBD,yes,yes
BRAWLOUT,PS4,TBD,yes,yes
BRINK ,PS3,TBD,yes,yes
BROKEN AGE,PS4,TBD,yes,yes
BROTHERS: A TALE OF TWO SONS,PS4,TBD,yes,yes
BRUT@L,PS4,TBD,yes,yes
BUBSY: THE WOOLIES STRIKE BACK,PS4,TBD,yes,yes
CAPCOM ARCADE CABINET,PS3,TBD,yes,no
CARMAGEDDON: MAX DAMAGE,PS4,TBD,yes,yes
CARS MATER-NATIONAL,PS3,TBD,yes,no
CARS RACE-O-RAMA,PS3,TBD,yes,yes
CASTLE INVASION: THRONE OUT,PS4,TBD,yes,yes
CASTLESTORM DEFINITIVE EDITION,PS4,TBD,yes,no
CASTLEVANIA LORDS OF SHADOW,PS3,TBD,yes,yes
CASTLEVANIA: HARMONY OF DISPAIR,PS3,TBD,yes,no
CASTLEVANIA: LORDS OF SHADOW - MIRROR OF FATE HD,PS3,TBD,yes,yes
CASTLEVANIA: LORDS OF SHADOW 2,PS3,TBD,yes,yes
CATHERINE,PS3,TBD,yes,yes
CEL DAMAGE HD ,PS3,TBD,yes,yes
CHAMPION JOCKEY: G1 JOCKEY & GALLOP RACER,PS3,TBD,yes,yes
CHESS ULTRA,PS4,TBD,yes,yes
CHRONICLES OF TEDDY: HARMONY OF EXIDUS,PS4,TBD,yes,yes
CITIES: SKYLINES,PS4,TBD,yes,yes
CLOCKWORK TALES: OF GLASS AND INK,PS4,TBD,yes,yes
CLOUDS & SHEEP 2,PS4,TBD,yes,yes
CONTROL,PS4,TBD,yes,yes
COSTUME QUEST 2,PS4,TBD,yes,yes
COUNTERSPY,PS4,TBD,yes,yes
CRASH COMMANDO,PS3,TBD,yes,yes
CRAZY TAXI,PS3,TBD,yes,yes
CRIMSONLAND,PS4,TBD,yes,yes
CRITTER CRUNCH,PS3,TBD,yes,yes
CROIXLEUR SIGMA,PS4,TBD,yes,yes
CUBOID,PS3,TBD,yes,no
DAMNATION,PS3,TBD,yes,yes
DANDARA,PS4,TBD,yes,yes
DANGER ZONE,PS4,TBD,yes,yes
DANGEROUS GOLF,PS4,TBD,yes,yes
DARK ARCANA: THE CARNIVAL,PS4,TBD,yes,yes
DARK CHRONICLE (PS2 Classics),PS2/PS4,TBD,yes,no
DARK CLOUD (PS2 Classics),PS2/PS4,TBD,yes,no
DARK MIST,PS3,TBD,yes,no
DARK VOID,PS3,TBD,yes,yes
DARKSIDERS 2 DEATHINITIVE EDITION,PS4,TBD,yes,no
DARKSIDERS: WARMASTERED EDITION,PS4,TBD,yes,yes
DARKSTALKERS RESURRECTION,PS3,TBD,yes,yes
DAY OF THE TENTACLE REMASTERED,PS4,TBD,yes,yes
DAYTONA USA ,PS3,TBD,yes,no
DE BLOB,PS4,TBD,yes,yes
DE BLOB 2,PS3,TBD,yes,yes
DEAD ISLAND DEFINITIVE EDITION,PS4,TBD,yes,yes
DEAD ISLAND RETRO REVENGE,PS4,TBD,yes,yes
DEAD ISLAND: RIPTIDE,PS3,TBD,yes,yes
DEAD NATION: APOCALYPSE EDITION,PS4,TBD,yes,yes
DEAD OR ALIVE 5 LAST ROUND,PS3,TBD,yes,yes
DEAD OR ALIVE 5 ULTIMATE,PS3,TBD,yes,no
DEAD SPACE 3,PS3,TBD,yes,yes
DEADLIGHT DIRECTOR'S CUT,PS4,TBD,yes,yes
DEADLY PREMONITION: DIRECTORS CUT,PS3,TBD,yes,no
DEATH TRACK: RESURRECTION,PS3,TBD,yes,yes
DECEPTION IV: BLOOD TIES,PS3,TBD,yes,yes
DECEPTION IV: THE NIGHTMARE PRINCESS,PS3,TBD,yes,no
DEFENSE GRID 2,PS4,TBD,yes,yes
DESERT CHILD,PS4,TBD,yes,yes
DESTROY ALL HUMANS! (PS2 Classics),PS2/PS4,TBD,yes,no
DEVIL MAY CRY 4,PS3,TBD,yes,yes
DEVIL MAY CRY HD COLLECTION,PS3,TBD,yes,yes
DIRT 4,PS4,TBD,yes,yes
DIRT RALLY,PS4,TBD,yes,yes
DISGAEA 3: ABSENCE OF JUSTICE,PS3,TBD,yes,yes
DISGAEA 4: A PROMISE UNFORGOTTEN,PS3,TBD,yes,yes
DISGAEA 5: ALLIANCE OF VENGEANCE,PS4,TBD,yes,yes
DISGAEA D2: A BRIGHTER DARKNESS,PS3,TBD,yes,yes
DISHONORED,PS3,TBD,yes,yes
DISHONORED 2,PS4,TBD,yes,yes
DISNEY EPIC MICKEY: THE POWER OF TWO,PS3,TBD,yes,no
DISNEY PIXAR BRAVE,PS3,TBD,yes,no
DISNEY PIXAR CARS 2 THE VIDEOGAME,PS3,TBD,yes,no
DISNEY PIXAR TOY STORY MANIA!,PS3,TBD,yes,no
DISNEY UNIVERSE ULTIMATE EDITION,PS3,TBD,yes,no
DOKI-DOKI UNIVERSE,PS4,TBD,yes,yes
DON BRADMAN CRICKET 14,PS3,TBD,yes,yes
"DON'T DIE, MR. ROBOT!",PS4,TBD,yes,no
DOOM,PS4,TBD,yes,yes
DOUBLE DRAGON NEON,PS3,TBD,yes,yes
DUKE NUKEM FOREVERDYNASTY WARRIORS 6,PS3,TBD,yes,no
DUNGEONS 2,PS4,TBD,yes,yes
DYNAMITE FISHING - WORLD GAMES,PS4,TBD,yes,yes
DYNASTY WARRIORS 6 EMPIRES,PS3,TBD,yes,yes
DYNASTY WARRIORS 7,PS3,TBD,yes,yes
DYNASTY WARRIORS 7 EMPIRES,PS3,TBD,yes,yes
DYNASTY WARRIORS 7 XTREME LEGENDS,PS3,TBD,yes,yes
DYNASTY WARRIORS 8,PS3,TBD,yes,yes
DYNASTY WARRIORS 8: XTREME LEGENDS,PS3,TBD,yes,yes
DYNASTY WARRIORS: STRIKEFORCE,PS3,TBD,yes,yes
EARTH DEFENSE FORCE 4.1: THE SHADOW OF NEW DESPAIR,PS4,TBD,yes,no
EARTH'S DAWN,PS4,TBD,yes,no
EAT THEM! ,PS3,TBD,yes,yes
ECHOCHROME,PS3,TBD,yes,yes
ELECTRONIC SUPER JOY ,PS4,TBD,yes,yes
ELEFUNK,PS3,TBD,yes,yes
ENIGMATIS 2: THE MISTS OF RAVENWOOD,PS4,TBD,yes,no
ENIGMATIS: THE GHOSTS OF MAPLE CREEK,PS4,TBD,yes,yes
ENTWINED,PS4,TBD,yes,yes
ESCAPE PLAN,PS4,TBD,yes,yes
ETHAN: METEOR HUNTER,PS3,TBD,yes,yes
EUFLORIA ,PS3,TBD,yes,yes
EVE: VALKYRIE - WARZONE,PS4,TBD,yes,no
EVENTIDE: SLAVIC FABLE,PS4,TBD,yes,no
EVERYBODY'S GOLF,PS3,TBD,yes,no
EVERYBODY'S GOLF: WORLD TOUR,PS3,TBD,yes,no
EVERYBODY'S GONE TO THE RAPTURE,PS4,TBD,yes,yes
EVERYBODY'S TENNIS (PS2 Classics),PS2/PS4,TBD,yes,no
EXILE'S END,PS4,TBD,yes,yes
EXIST ARCHIVE: THE OTHER SIDE OF THE SKY,PS4,TBD,yes,yes
EXTREME EXORCISM,PS4,TBD,yes,yes
F.E.A.R. FIRST ENCOUNTER ASSAULT RECON,PS3,TBD,yes,no
F1 2014 ,PS3,TBD,yes,yes
F1 2015,PS4,TBD,yes,yes
F1 2016,PS4,TBD,yes,yes
F1 2017,PS4,TBD,yes,yes
F1 2019,PS4,TBD,yes,yes
F1 RACE STARS,PS3,TBD,yes,yes
FAERY : LEGENDS OF AVALON ,PS3,TBD,yes,yes
FAIRY FENCER F ADVENT DARK FORCE,PS4,TBD,yes,yes
FALLOUT 3 ,PS3,TBD,yes,yes
FALLOUT 4,PS4,TBD,yes,yes
FALLOUT: NEW VEGAS ,PS3,TBD,yes,yes
FANTAVISION (PS2 Classics),PS2/PS4,TBD,yes,no
FARMING SIMULATOR 15,PS4,TBD,yes,no
FARMING SIMULATOR 17,PS4,TBD,yes,no
FARMING SIMULATOR 19,PS4,TBD,yes,yes
FAT PRINCESS ADVENTURES,PS4,TBD,yes,no
FIGHTING VIPERS,PS3,TBD,yes,yes
FINAL EXAM ,PS3,TBD,yes,yes
FINAL FIGHT: DOUBLE IMPACT,PS3,TBD,yes,yes
FLOW,PS3,TBD,yes,yes
FLOWER,PS3,TBD,yes,yes
FLUSTER CLUCK,PS4,TBD,yes,yes
FOR HONOR                   ,PS4,TBD,yes,yes
FORBIDDEN SIREN (PS2 Classics),PS2/PS4,TBD,yes,no
FROGGER RETURNS,PS3,TBD,yes,yes
G-FORCE,PS3,TBD,yes,yes
GAL*GUN: DOUBLE PEACE,PS4,TBD,yes,yes
GAROU: MARK OF THE WOLVES,PS4,TBD,yes,yes
GEM SMASHERS,PS4,TBD,yes,yes
GENJI: DAYS OF THE BLADE ,PS3,TBD,yes,no
GET EVEN,PS4,TBD,yes,yes
GIANA SISTERS: TWISTED DREAMS - DIRECTOR'S CUT,PS4,TBD,yes,no
GO! PUZZLE ,PS3,TBD,yes,yes
GOD EATER 2: RAGE BURST,PS4,TBD,yes,yes
GOD OF WAR HD,PS3,TBD,yes,yes
GOD OF WAR II HD,PS3,TBD,yes,no
GOD OF WAR: ASCENSION,PS3,TBD,yes,yes
GOD OF WAR: CHAINS OF OLYMPUS ,PS3,TBD,yes,yes
GOD OF WAR: GHOST OF SPARTA ,PS3,TBD,yes,no
GOD OF WAR® III REMASTERED,PS4,TBD,yes,no
GOLDEN AXE,PS3,TBD,yes,yes
GRAND AGES: MEDIEVAL,PS4,TBD,yes,yes
GRAND KINGDOM,PS4,TBD,yes,yes
GRAVITY CRASH ,PS3,TBD,yes,yes
GRAVITY RUSH 2,PS4,TBD,yes,yes
GRAVITY RUSH REMASTERED,PS4,TBD,yes,yes
GREG HASTINGS PAINTBALL 2,PS3,TBD,yes,yes
GRID 2,PS3,TBD,yes,yes
GRID AUTOSPORT,PS3,TBD,yes,yes
GRIM FANDANGO REMASTERED,PS4,TBD,yes,yes
GRIM LEGENDS: THE FORSAKEN BRIDE,PS4,TBD,yes,no
GUACAMELEE!,PS3,TBD,yes,yes
GUILTY GEAR XRD -REVELATOR-,PS4,TBD,yes,yes
HAKUOKI: STORIES OF THE SHINSENGUMI,PS3,TBD,yes,yes
HAMILTON'S GREAT ADVENTURE,PS3,TBD,yes,yes
HAMSTERBALL,PS3,TBD,yes,yes
HARDWARE: RIVALS,PS4,TBD,yes,yes
HEAVENLY SWORD,PS3,TBD,yes,yes
HEAVY FIRE AFGHANISTAN,PS3,TBD,yes,yes
HEAVY RAIN,PS4,TBD,yes,no
HOHOKUM,PS4,TBD,yes,yes
HOLLOW KNIGHT,PS4,TBD,yes,yes
HOTEL TRANSYLVANIA 3 MONSTERS OVERBOARD,PS4,TBD,yes,yes
HOUSE OF THE DEAD 4  ,PS3,TBD,yes,no
HOW TO SURVIVE - STORM WARNING EDITION,PS4,TBD,yes,no
HUNTED: THE DEMON'S FORGE ,PS3,TBD,yes,yes
HUNTER'S TROPHY 2 - AMERICA ,PS3,TBD,yes,yes
HUNTER'S TROPHY 2 - AUSTRALIA,PS3,TBD,yes,yes
HUSTLE KINGS,PS3,TBD,yes,yes
I AM BREAD,PS4,TBD,yes,yes
"I, ZOMBIE",PS4,TBD,yes,no
IBB & OBB,PS3,TBD,yes,yes
ICO CLASSICS HD ,PS3,TBD,yes,no
IN SPACE WE BRAWL ,PS4,TBD,yes,yes
INFAMOUS,PS3,TBD,yes,yes
INFAMOUS 2,PS3,TBD,yes,yes
INFAMOUS: FESTIVAL OF BLOOD,PS3,TBD,yes,yes
INJUSTICE: GODS AMONG US ULTIMATE EDITION,PS3,TBD,yes,no
INSIDE MY RADIO,PS4,TBD,yes,yes
INVIZIMALS THE LOST KINGDOM,PS3,TBD,yes,yes
IRONCAST,PS4,TBD,yes,yes
JETPACK JOYRIDE DELUXE,PS3,TBD,yes,yes
JOE DANGER 2: THE MOVIE,PS3,TBD,yes,yes
JOE DEVER'S LONE WOLF,PS4,TBD,yes,yes
JOURNEY ,PS3,TBD,yes,yes
JUDGE DEE - THE CITY GOD CASE,PS3,TBD,yes,yes
KICKBEAT SPECIAL EDITION,PS4,TBD,yes,no
KILLZONE 2,PS3,TBD,yes,yes
KILLZONE 3,PS3,TBD,yes,yes
KILLZONE: SHADOW FALL,PS4,TBD,yes,yes
KILLZONE ,PS3,TBD,yes,no
KINETICA (PS2 Classics),PS2/PS4,TBD,yes,no
KING ODDBALL,PS4,TBD,yes,yes
KINGDOM: NEW LANDS,PS4,TBD,yes,yes
KNACK,PS4,TBD,yes,yes
KNYTT UNDERGROUND,PS3,TBD,yes,yes
KRINKLE KRUSHER,PS4,TBD,yes,no
KROMAIA Ω,PS4,TBD,yes,no
KUNG FU RABBIT,PS3,TBD,yes,yes
LEARNING WITH THE POOYOOS - EPISODE 1,PS3,TBD,yes,no
LEGASISTA,PS3,TBD,yes,yes
LEGEND OF KAY ANNIVERSARY,PS4,TBD,yes,yes
LEGO BATMAN 2: DC SUPER HEROES,PS3,TBD,yes,yes
LEGO BATMAN 3: BEYOND GOTHAM,PS4,TBD,yes,yes
LEGO BATMAN: THE VIDEOGAME,PS3,TBD,yes,yes
LEGO HARRY POTTER: YEARS 1-4,PS3,TBD,yes,yes
LEGO HARRY POTTER: YEARS 5-7,PS3,TBD,yes,yes
LEGO STAR WARSTM III: THE CLONE WARSTM,PS3,TBD,yes,no
LEGO STAR WARSTM: THE COMPLETE SAGA,PS3,TBD,yes,no
LEGO WORLDS,PS4,TBD,yes,yes
LEGO® DISNEY PIRATES OF THE CARIBBEAN THE VIDEOGAME,PS3,TBD,yes,no
LEGO® INDIANA JONESTM 2: THE ADVENTURE CONTINUES,PS3,TBD,yes,no
LEGO® INDIANA JONESTM: THE ORIGINAL ADVENTURES,PS3,TBD,yes,no
LEMMINGS,PS3,TBD,yes,yes
LEO'S FORTUNE,PS4,TBD,yes,yes
LIMBO,PS4,TBD,yes,yes
LINGER IN SHADOWS,PS3,TBD,yes,yes
LITTLEBIGPLANET 3,PS3,TBD,yes,yes
LITTLEBIGPLANET 3,PS4,TBD,yes,yes
LOCK'S QUEST,PS4,TBD,yes,yes
LOCOROCO COCORECCHO,PS3,TBD,yes,yes
LOCOROCO REMASTERED,PS4,TBD,yes,yes
LONE SURVIVOR: THE DIRECTOR'S CUT,PS4,TBD,yes,yes
LORDS OF THE FALLEN,PS4,TBD,yes,yes
LOST PLANET,PS3,TBD,yes,no
LOST PLANET 2,PS3,TBD,yes,yes
LOST PLANET 3,PS3,TBD,yes,yes
LOST SEA,PS4,TBD,yes,yes
LOVELY PLANET,PS4,TBD,yes,yes
LUMO,PS4,TBD,yes,no
MACHINARIUM,PS3,TBD,yes,yes
MAFIA 2,PS3,TBD,yes,no
MAFIA III,PS4,TBD,yes,yes
MAGIC ORBZ,PS3,TBD,yes,yes
MAGICKA 2,PS4,TBD,yes,yes
MAGUS,PS3,TBD,yes,yes
